,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
357,Alberdi,-32.8899,-60.6906,80.13,39,0,13.6,AR,1650823200
358,Bambanglipuro,-7.95,110.2833,77.31,90,100,7.18,ID,1650823200
359,Maceió,-9.6658,-35.7353,87.24,51,40,9.8,BR,1650823200
360,Nchelenge,-9.3451,28.734,71.53,85,86,2.33,ZM,1650823200
361,Bermeo,43.4209,-2.7215,61.09,80,85,6.76,ES,1650823200
362,Wahiawā,21.5028,-158.0236,70.63,81,100,10.65,US,1650823200
363,Namatanai,-3.6667,152.4333,78.44,76,54,5.7,PG,1650823200
364,Ondo,7.1,4.8333,77.41,86,100,2.89,NG,1650823200
365,Coahuayana Viejo,18.7333,-103.6833,88.36,34,35,7.74,MX,1650823200
366,General Pico,-35.6566,-63.7568,81.19,36,91,18.32,AR,1650823200
367,Salisbury,51.0693,-1.7957,61.27,49,75,13.02,GB,1650823200
368,Muzhi,65.3667,64.6667,16.61,97,100,4.09,RU,1650823200
369,Oceanside,33.1959,-117.3795,78.73,32,0,5.79,US,1650823200
370,Ushtobe,45.2514,77.9838,47.55,55,100,10.65,KZ,1650823200
371,Richards Bay,-28.783,32.0377,71.85,88,51,7.2,ZA,1650823200
372,Torres,-29.3353,-49.7269,78.82,65,0,14.36,BR,1650823200
373,Ahipara,-35.1667,173.1667,61.61,83,36,12.35,NZ,1650823200
374,Izumo,35.3667,132.7667,59.56,92,11,4.05,JP,1650823200
375,Shilka,51.85,116.0333,31.3,61,39,2.08,RU,1650823200
376,Grandview,38.8858,-94.533,62.51,47,40,10.96,US,1650823200
377,Riyadh,24.6877,46.7219,88.65,14,95,13.06,SA,1650823200
378,Dul'durga,50.6761,113.5931,28.65,28,67,2.98,RU,1650823200
379,Havelock,34.8791,-76.9013,78.94,67,0,8.43,US,1650823200
380,Gazojak,41.1875,61.4036,67.98,34,0,10.38,TM,1650823200
381,Aborlan,9.4352,118.5492,78.67,89,34,2.98,PH,1650823200
382,Torbat-e Jām,35.244,60.6225,69.78,46,3,5.66,IR,1650823200
383,Boqueirão,-7.5,-36.1333,87.53,39,98,14.74,BR,1650823200
384,Ereymentau,51.6199,73.1033,34.43,47,100,11.5,KZ,1650823200
385,Zaza del Medio,21.9961,-79.3669,89.67,38,33,14.81,CU,1650823200
386,Mocuba,-16.8392,36.9856,71.64,98,22,3.51,MZ,1650823200
387,Raudeberg,61.9875,5.1352,45.86,81,56,9.62,NO,1650823200
388,Taksimo,56.3444,114.8794,22.5,74,66,3.0,RU,1650823200
389,Japura,-0.3167,102.35,74.89,98,49,0.45,ID,1650823200
390,Kilindoni,-7.9139,39.6668,82.4,74,99,8.39,TZ,1650823200
391,Arrondissement de Rodez,44.5,2.5833,53.06,82,75,7.54,FR,1650823200
392,Bilibino,68.0546,166.4372,-2.02,99,66,4.79,RU,1650823200
393,Ilo,-17.6394,-71.3375,70.43,75,23,8.77,PE,1650823200
394,Senador José Porfírio,-2.5908,-51.9542,83.03,70,97,1.36,BR,1650823200
395,Vertientes,21.2594,-78.1464,90.36,38,100,14.79,CU,1650823200
396,Solnechnyy,50.7214,136.6319,16.34,92,45,4.43,RU,1650823200
397,Altay,47.8667,88.1167,31.57,56,89,5.1,CN,1650823200
398,Mahibadhoo,3.7833,72.9667,84.85,68,66,4.9,MV,1650823200
399,Marrakesh,31.6315,-8.0083,71.67,40,75,5.53,MA,1650823200
400,Kieta,-6.2167,155.6333,77.94,84,69,3.4,PG,1650823200
401,Sargūr,11.9833,76.4167,75.56,85,59,6.64,IN,1650823200
402,Pastavy,55.1168,26.8326,42.48,95,100,10.45,BY,1650823200
403,Sosnovo-Ozerskoye,52.5249,111.5418,25.66,72,43,4.9,RU,1650823200
404,Yenagoa,4.9247,6.2642,78.19,82,100,1.81,NG,1650823200
405,Talcahuano,-36.7167,-73.1167,58.68,88,75,19.82,CL,1650823200
406,Buta,2.7858,24.73,72.52,98,98,4.38,CD,1650823200
407,São João da Barra,-21.6403,-41.0511,84.29,68,12,17.2,BR,1650823200
408,Mossamedes,-15.1961,12.1522,72.23,78,20,8.01,AO,1650823200
409,Kirakira,-10.4544,161.9205,78.8,84,85,3.71,SB,1650823200
410,Cockburn Town,21.4612,-71.1419,80.56,61,40,19.22,TC,1650823200
411,Fengrun,39.8333,118.1167,57.33,66,100,4.47,CN,1650823200
412,Deputatsky,69.3,139.9,-1.7,100,100,0.81,RU,1650823200
413,Kawhia,-38.0651,174.8183,57.81,85,89,7.31,NZ,1650823200
414,Charlestown,-32.95,151.6667,59.29,91,74,2.71,AU,1650823200
415,Mbekenyera,-10.0,38.9833,72.07,97,100,3.91,TZ,1650823200
416,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,88.63,48,58,14.03,AR,1650823200
417,Oakdale,44.963,-92.9649,49.86,71,100,18.05,US,1650823200
418,Praia,14.9215,-23.5087,86.54,37,0,13.53,CV,1650823200
419,Jumla,29.2747,82.1838,49.64,32,3,4.32,NP,1650823200
420,Taoudenni,22.6783,-3.9836,91.22,16,0,14.12,ML,1650823200
421,Kalabo,-14.97,22.6814,73.51,53,95,2.06,ZM,1650823200
422,Port Macquarie,-31.4333,152.9167,64.24,65,89,5.03,AU,1650823200
423,Pocatello,42.8713,-112.4455,48.47,48,20,6.42,US,1650823200
424,Krasnyy Chikoy,50.3643,108.7512,33.13,48,100,7.76,RU,1650823200
425,Dhidhdhoo,6.8833,73.1,84.29,70,64,2.06,MV,1650823200
426,Gimli,50.6336,-96.9907,30.94,93,100,26.78,CA,1650823200
427,Puerto Carreño,6.189,-67.4859,95.41,52,20,7.65,CO,1650823200
428,Torbay,47.6666,-52.7314,35.92,96,100,22.21,CA,1650823200
429,Corleone,37.8134,13.3017,57.47,65,27,2.37,IT,1650823200
430,Abéché,13.8292,20.8324,90.05,14,64,1.41,TD,1650823200
431,Pringsewu,-5.3582,104.9744,74.32,97,54,4.03,ID,1650823200
432,Meridian,43.6121,-116.3915,54.41,46,0,5.55,US,1650823200
433,Goderich,43.7501,-81.7165,75.52,50,86,18.28,CA,1650823200
434,Puerto López,4.0845,-72.956,83.89,72,100,3.47,CO,1650823200
435,Ibipeba,-11.6408,-42.0111,88.16,34,10,12.64,BR,1650823200
436,Port Blair,11.6667,92.75,82.72,83,20,3.24,IN,1650823200
437,Sangar,63.9242,127.4739,2.05,98,57,2.39,RU,1650823200
438,Bellmead,31.594,-97.1089,80.96,64,75,17.78,US,1650823200
439,Businga,3.3333,20.8833,77.76,75,74,1.23,CD,1650823200
440,Port Keats,-14.25,129.55,79.68,47,76,6.58,AU,1650823200
441,Burnie,-41.0667,145.9167,52.95,92,45,5.73,AU,1650823200
442,Kaseda-shirakame,31.4167,130.3167,65.5,88,28,1.99,JP,1650823200
443,Guarujá,-23.9931,-46.2564,80.46,74,75,10.56,BR,1650823200
444,Bilma,18.6853,12.9164,96.94,9,4,7.23,NE,1650823200
445,Srandakan,-7.9386,110.2506,77.4,90,100,7.31,ID,1650823200
446,Nizwá,22.9333,57.5333,86.9,30,96,5.97,OM,1650823200
447,Grindavik,63.8424,-22.4338,45.07,81,100,12.15,IS,1650823200
448,Ouargaye,11.5033,0.0572,101.5,7,41,5.91,BF,1650823200
449,Cloquet,46.7216,-92.4594,43.74,78,100,16.75,US,1650823200
450,Ouro Preto do Oeste,-10.7481,-62.2158,84.04,77,81,3.83,BR,1650823200
451,Kazygurt,41.7589,69.3864,57.56,78,61,6.87,KZ,1650823200
452,Motygino,58.1831,94.7592,27.12,95,96,6.58,RU,1650823200
453,Tautira,-17.7333,-149.15,79.43,75,78,5.88,PF,1650823200
454,Sioux Lookout,50.1001,-91.917,42.87,93,100,2.08,CA,1650823200
455,Te Anau,-45.4167,167.7167,46.85,85,64,0.98,NZ,1650823200
456,Brownwood,31.7093,-98.9912,77.52,63,100,17.87,US,1650823200
457,Tshikapa,-6.4167,20.8,72.12,95,99,1.7,CD,1650823200
458,Khudumelapye,-23.8833,24.75,73.0,40,89,4.25,BW,1650823200
459,Batemans Bay,-35.7167,150.1833,59.09,90,97,2.73,AU,1650823200
460,Fort Nelson,58.8053,-122.7002,45.99,46,75,1.97,CA,1650823200
461,Buala,-8.145,159.5921,79.07,81,100,4.79,SB,1650823200
462,Fairview,40.8126,-73.999,61.32,40,0,11.14,US,1650823200
463,Lianzhou,24.7811,112.3825,72.77,98,77,4.5,CN,1650823200
464,Noumea,-22.2763,166.4572,73.99,99,99,16.73,NC,1650823200
465,Vangaindrano,-23.35,47.6,72.37,87,100,5.19,MG,1650823200
466,Esperance,-33.8667,121.9,58.8,86,1,11.83,AU,1650823200
467,Niagara Falls,43.1001,-79.0663,70.99,57,0,4.47,CA,1650823200
468,Brejinho,-6.1908,-35.3567,81.3,73,93,11.74,BR,1650823200
469,Zuwārah,32.9312,12.082,66.83,68,22,15.21,LY,1650823200
470,Flin Flon,54.7682,-101.865,29.68,59,20,14.54,CA,1650823200
471,Arrondissement de Bastia,42.6667,9.3333,56.55,76,75,5.95,FR,1650823200
472,Uruçuí,-7.2294,-44.5561,83.62,68,100,3.18,BR,1650823200
473,Watertown,42.3709,-71.1828,51.19,44,0,5.93,US,1650823200
474,Codrington,-38.2667,141.9667,48.02,94,26,7.67,AU,1650823200
475,Ossora,59.2353,163.0719,29.01,97,100,19.26,RU,1650823200
476,Pa Sang,18.5262,98.9394,84.74,52,69,1.16,TH,1650823200
477,Inta,66.0317,60.1659,20.46,93,86,3.6,RU,1650823200
478,Lishu,43.3047,124.3278,56.64,35,80,6.78,CN,1650823200
479,Orël-Izumrud,43.4583,39.9244,59.09,76,6,4.94,RU,1650823200
480,Saint-Pierre,-21.3393,55.4781,75.65,74,40,11.74,RE,1650823200
481,Atar,20.5169,-13.0499,91.8,18,0,15.59,MR,1650823200
482,Staraya Russa,57.9944,31.3608,46.27,95,97,6.69,RU,1650823200
483,Kupang,-10.1667,123.5833,75.97,81,12,6.46,ID,1650823200
484,Laredo,27.5064,-99.5075,92.35,54,100,22.39,US,1650823200
485,Dori,14.0354,-0.0345,100.62,8,29,8.43,BF,1650823200
486,Shellbrook,53.2168,-106.4011,42.03,68,85,10.4,CA,1650823200
487,Viedma,-40.8135,-62.9967,68.94,39,100,20.04,AR,1650823200
488,Souillac,-20.5167,57.5167,75.58,78,75,17.56,MU,1650823200
489,Sovetskiy,61.3614,63.5842,32.56,97,65,3.47,RU,1650823200
490,Poronaysk,49.2167,143.1167,29.86,84,37,8.93,RU,1650823200
491,Kristiansund,63.1115,7.732,50.65,62,0,14.2,NO,1650823200
492,Stann Creek Town,16.9692,-88.2321,82.56,69,8,9.89,BZ,1650823200
493,Abu Samrah,35.3029,37.1841,76.28,23,4,5.26,SY,1650823200
494,La Asuncion,11.0333,-63.8628,81.66,70,54,16.37,VE,1650823200
495,Ayamé,5.6083,-3.1563,81.88,77,87,8.08,CI,1650823200
496,Romny,50.751,33.4747,49.95,71,35,3.65,UA,1650823200
497,Manado,1.487,124.8455,77.77,94,20,2.64,ID,1650823200
498,Westport,41.1415,-73.3579,55.74,51,0,11.05,US,1650823200
499,Buluang,13.3068,123.3425,77.27,90,100,3.65,PH,1650823200
500,North Bend,43.4065,-124.2243,55.92,93,100,3.6,US,1650823200
501,Sur,22.5667,59.5289,88.03,44,34,8.03,OM,1650823200
502,Lagoa,39.05,-27.9833,58.05,74,3,21.25,PT,1650823200
503,Baghdad,33.3406,44.4009,72.12,46,75,5.66,IQ,1650823200
504,Springdale,36.1867,-94.1288,66.2,91,100,13.65,US,1650823200
505,Rehoboth,-23.3167,17.0833,65.79,34,4,10.29,NA,1650823200
506,Øksfjord,70.2396,22.3479,39.0,93,100,4.16,NO,1650823200
507,Alta Gracia,-31.6529,-64.4283,82.99,42,1,21.27,AR,1650823200
508,Marfino,55.7028,37.3822,49.03,84,100,6.67,RU,1650823200
509,Kholmy,51.871,32.6006,48.04,80,14,4.47,UA,1650823200
510,Pacifica,37.6138,-122.4869,60.39,73,20,2.82,US,1650823200
511,Ateli Mandi,28.1,76.2833,86.99,13,66,5.53,IN,1650823200
512,Luanda,-8.8368,13.2343,78.04,83,54,11.3,AO,1650823200
513,Carutapera,-1.195,-46.02,76.15,88,100,1.48,BR,1650823200
514,San Rafael,-34.6177,-68.3301,81.18,26,5,11.72,AR,1650823200
515,Los Llanos de Aridane,28.6585,-17.9182,63.12,75,40,5.41,ES,1650823200
516,Constantine,36.365,6.6147,62.01,63,20,7.58,DZ,1650823200
517,Mitsamiouli,-11.3847,43.2844,81.18,82,99,10.07,KM,1650823200
518,Puerto Baquerizo Moreno,-0.9,-89.6,76.19,73,75,13.67,EC,1650823200
519,Lawton,34.6087,-98.3903,57.79,53,100,17.76,US,1650823200
520,Selishche,56.8879,33.2691,45.61,93,100,6.08,RU,1650823200
521,Bosobolo,4.1833,19.9,74.1,90,88,5.03,CD,1650823200
522,Ol'ga,43.7444,135.2892,45.32,54,71,4.27,RU,1650823200
523,Yulara,-25.2406,130.9889,60.64,82,21,8.59,AU,1650823200
524,Makushino,55.2103,67.2442,43.25,36,75,6.96,RU,1650823200
525,Faya,18.3851,42.4509,66.56,44,45,4.72,SA,1650823200
526,Portree,57.4129,-6.1942,49.51,74,2,11.12,GB,1650823200
527,Mount Gambier,-37.8333,140.7667,48.67,100,100,5.44,AU,1650823200
528,Mandalay,21.9747,96.0836,90.75,30,0,3.47,MM,1650823200
529,Aklavik,68.2191,-135.0107,30.0,68,20,5.32,CA,1650823200
530,Opuwo,-18.0607,13.84,74.39,33,21,4.07,NA,1650823200
531,Gorontalo,0.5412,123.0595,75.15,95,47,3.47,ID,1650823200
532,Itarantim,-15.6597,-40.0656,91.89,37,6,9.86,BR,1650823200
533,São José da Tapera,-9.5583,-37.3811,91.45,32,48,16.42,BR,1650823200
534,Aripuanã,-9.1667,-60.6333,84.25,75,87,2.39,BR,1650823200
535,Mineiros,-17.5694,-52.5511,84.63,46,97,7.54,BR,1650823200
536,Dali,25.7,100.1833,57.13,72,1,6.06,CN,1650823200
537,Rochegda,62.8,43.25,32.31,93,100,1.01,RU,1650823200
538,Salamiyah,35.0113,37.0532,74.23,29,52,4.18,SY,1650823200
539,Yaita,36.8,139.9333,55.42,88,53,3.51,JP,1650823200
540,Terrace,54.5163,-128.6035,44.51,93,75,2.06,CA,1650823200
541,Zilair,52.2332,57.4392,42.42,55,27,1.21,RU,1650823200
542,Tazovsky,67.4667,78.7,-5.15,100,77,5.03,RU,1650823200
543,Lincoln,40.8,-96.667,59.14,40,100,22.24,US,1650823200
544,Kampot,10.6167,104.1833,82.31,79,58,4.52,KH,1650823200
545,Neuquén,-38.9516,-68.0591,80.49,18,40,41.18,AR,1650823200
546,Bengkulu,-3.8004,102.2655,77.14,89,80,3.2,ID,1650823200
547,Port Lincoln,-34.7333,135.8667,63.93,83,100,7.65,AU,1650823200
548,Sol'-Iletsk,51.1631,54.9918,51.01,53,12,7.38,RU,1650823200
549,Nantucket,41.2835,-70.0995,47.16,57,0,12.24,US,1650823200
550,Nefteyugansk,61.0998,72.6035,33.15,98,100,5.5,RU,1650823200
551,Anamur,36.0751,32.8369,72.19,46,0,5.01,TR,1650823200
552,Lumeje,-11.55,20.7833,70.95,59,54,1.97,AO,1650823200
553,Acajutla,13.5928,-89.8275,86.34,59,7,9.71,SV,1650823200
554,Kathmandu,27.7167,85.3167,70.02,37,20,1.43,NP,1650823200
555,Kidal,18.4411,1.4078,93.31,6,0,11.74,ML,1650823200
556,Emerald,-23.5333,148.1667,68.14,68,100,14.9,AU,1650823200
557,Huarmey,-10.0681,-78.1522,73.35,73,32,12.48,PE,1650823200
558,Atambua,-9.1061,124.8925,70.79,79,22,3.53,ID,1650823200
559,Haines Junction,60.7522,-137.5108,39.15,65,100,1.36,CA,1650823200
560,Nome,64.5011,-165.4064,37.47,87,100,2.98,US,1650823200
561,Xai-Xai,-25.0519,33.6442,72.23,91,0,8.05,MZ,1650823200
562,Pacocha,-17.5833,-71.3333,71.37,73,32,8.08,PE,1650823200
563,Luwingu,-10.2621,29.9271,63.37,94,66,2.53,ZM,1650823200
564,Mongoumba,3.6415,18.5936,72.63,96,96,3.94,CF,1650823200
565,Suntar,62.1444,117.6319,25.14,92,100,3.2,RU,1650823200
566,Conceição da Barra,-18.5933,-39.7322,85.66,60,5,7.9,BR,1650823200
567,Chatrapur,19.35,84.9833,82.13,83,90,13.69,IN,1650823200
568,Ambulu,-8.345,113.6058,76.21,91,72,2.8,ID,1650823200
